"epoch","UNet3d-all-10-days_final - _step","UNet3d-all-10-days_final - _step__MIN","UNet3d-all-10-days_final - _step__MAX","UNet3d-all-10-days_final - Train Loss","UNet3d-all-10-days_final - Train Loss__MIN","UNet3d-all-10-days_final - Train Loss__MAX","UNet3d-all-10-days_final - Validation Loss","UNet3d-all-10-days_final - Validation Loss__MIN","UNet3d-all-10-days_final - Validation Loss__MAX"
"13","24.5","24","25","0.26709248900631843","0.26709248900631843","0.26709248900631843","0.2743671973866801","0.2743671973866801","0.2743671973866801"
"14","26.5","26","27","0.2650876344887765","0.2650876344887765","0.2650876344887765","0.2764931845088159","0.2764931845088159","0.2764931845088159"
"15","28.5","28","29","0.2615715638621823","0.2615715638621823","0.2615715638621823","0.2639622967089376","0.2639622967089376","0.2639622967089376"
"16","30.5","30","31","0.25935028558904","0.25935028558904","0.25935028558904","0.2670475013794438","0.2670475013794438","0.2670475013794438"
"17","32.5","32","33","0.2574702025333167","0.2574702025333167","0.2574702025333167","0.2596599603852918","0.2596599603852918","0.2596599603852918"
"18","34.5","34","35","0.2548168970224185","0.2548168970224185","0.2548168970224185","0.27681512457709156","0.27681512457709156","0.27681512457709156"
"19","36.5","36","37","0.25177188572429476","0.25177188572429476","0.25177188572429476","0.2646680498315442","0.2646680498315442","0.2646680498315442"
"20","38.5","38","39","0.24930444889234535","0.24930444889234535","0.24930444889234535","0.2664185281722776","0.2664185281722776","0.2664185281722776"
"21","40.5","40","41","0.24746839232715495","0.24746839232715495","0.24746839232715495","0.2684652295804793","0.2684652295804793","0.2684652295804793"
"22","42.5","42","43","0.23973799297661136","0.23973799297661136","0.23973799297661136","0.25208537136354753","0.25208537136354753","0.25208537136354753"
"23","44.5","44","45","0.23248972730103867","0.23248972730103867","0.23248972730103867","0.25002118464439144","0.25002118464439144","0.25002118464439144"
"24","46.5","46","47","0.22969961624879104","0.22969961624879104","0.22969961624879104","0.247013267009489","0.247013267009489","0.247013267009489"
